iter	RMSE
0	0.795306893
1	0.7325742812
2	0.67403623
3	0.6229994528
4	0.5786993851
5	0.5381559332
6	0.5029149836
7	0.4721411617
8	0.4429095701
9	0.4166259386
10	0.394613072
11	0.3749275921
12	0.3574376752
13	0.3409900192
14	0.3264457205
15	0.3129907556
16	0.3022869437
17	0.2933155929
18	0.284347333
19	0.2761873355
20	0.2692236348
21	0.2631243904
22	0.2574699662
23	0.2523096007
24	0.2479184935
25	0.2436011071
26	0.2402037768
27	0.2362540033
28	0.2332260098
29	0.2307681542
30	0.2285562587
31	0.2265734076
32	0.2243584966
33	0.2224990901
34	0.2209150173
35	0.2189429034
36	0.2175278937
37	0.2161873568
38	0.2149104653
39	0.213837021
40	0.2123302272
41	0.2111442245
42	0.21015062
43	0.2084716508
44	0.2072474663
45	0.2064836062
46	0.2056595337
47	0.2046265517
48	0.2038782914
49	0.2028958931
50	0.202040946
51	0.2013873011
52	0.2006090567
53	0.1999823798
54	0.1986725206
55	0.1978374171
56	0.1970393553
57	0.1965036037
58	0.195957877
59	0.1954712291
60	0.1945955459
61	0.1939139854
62	0.19275066
63	0.191975928
64	0.1911034115
65	0.1907096464
66	0.1900604861
67	0.1890803717
68	0.1885972508
69	0.187967177
70	0.1876206245
71	0.1867799032
72	0.1860440161
73	0.1853787574
74	0.184749978
75	0.1840275396
76	0.1834080873
77	0.1826751548
78	0.1822535713
79	0.1818682392
80	0.181255814
81	0.1806738445
82	0.1799600097
83	0.1794636915
84	0.1790592342
85	0.1783065198
86	0.177711795
87	0.1773668578
88	0.1766822892
89	0.1761800373
90	0.1756176295
91	0.1749821878
92	0.1743259424
93	0.1740661185
94	0.1735943808
95	0.1729894606
96	0.172611768
97	0.1722493942
98	0.1717314442
99	0.1712347993
100	0.1708699423
101	0.1704076975
102	0.169911656
103	0.1694474556
104	0.1689429559
105	0.1685295565
106	0.1679864406
107	0.1675452523
108	0.1671530036
109	0.1668374045
110	0.1665009053
111	0.165974519
112	0.1654041752
113	0.1651476987
114	0.164714803
115	0.1642695984
116	0.1639410098
117	0.1636710123
118	0.1632115774
119	0.1628623137
120	0.1622945384
121	0.1618899234
122	0.1612289157
123	0.1609052673
124	0.1605680471
125	0.1601430265
126	0.1597846673
127	0.1594956447
128	0.1591194714
129	0.1588921728
130	0.1584396555
131	0.1582225046
132	0.1578606728
133	0.1574361136
134	0.1570385968
135	0.1567469318
136	0.1563077132
137	0.1560688958
138	0.1557823017
139	0.1555213773
140	0.1552609693
141	0.1550496009
142	0.1546472529
143	0.1542878975
144	0.1539236287
145	0.1537995459
146	0.1534777137
147	0.1531611763
148	0.1530036837
149	0.1527249864
150	0.152583319
151	0.1523112303
152	0.1520834651
153	0.1517743885
154	0.1515481705
155	0.1511308495
156	0.1509296821
157	0.1506296797
158	0.1504120169
159	0.1501799076
160	0.1498487648
161	0.1495315788
162	0.149382403
163	0.1492431046
164	0.1487921114
165	0.1485787407
166	0.1483380114
167	0.1479083277
168	0.1476720902
169	0.147383465
170	0.1471644163
171	0.1468897356
172	0.1466398275
173	0.1464086396
174	0.1462966541
175	0.146026206
176	0.1456274283
177	0.1453603113
178	0.1451395773
179	0.1447908968
180	0.1445542276
181	0.1442822551
182	0.1440784083
183	0.1437439919
184	0.1436016532
185	0.1433284991
186	0.1431610318
187	0.1429201445
188	0.1426911704
189	0.1425590566
190	0.1424074101
191	0.14207619
192	0.1418130019
193	0.1415593877
194	0.1412821829
195	0.141093355
196	0.1409086805
197	0.1407138919
198	0.1405034126
199	0.1403532109
200	0.1401505422
201	0.1398686984
202	0.1396934422
203	0.1395662078
204	0.1394877499
205	0.1393314192
206	0.13922666
207	0.1390416026
208	0.1388954209
209	0.1386748964
210	0.1384833058
211	0.1383265257
212	0.13812474
213	0.1378830981
214	0.1376586906
215	0.1374207563
216	0.1372543683
217	0.1370507753
218	0.1369598118
219	0.1367849995
220	0.1366139656
221	0.1364034303
222	0.1362843078
223	0.1360606503
224	0.1358696049
225	0.1356663408
226	0.1355502722
227	0.1354080601
228	0.1352394132
229	0.135013966
230	0.1348369764
231	0.1346659813
232	0.1345229617
233	0.1343895127
234	0.1342136862
235	0.1340224942
236	0.1338199485
237	0.1336078879
238	0.1333996019
239	0.1333094319
240	0.1332251786
241	0.1330855609
242	0.1329575475
243	0.1328199266
244	0.132711538
245	0.132560553
246	0.1324439875
247	0.1323072989
248	0.1322388031
249	0.1320421619
250	0.131873794
251	0.1317429418
252	0.1316430596
253	0.1314617768
254	0.1312586208
255	0.1311272564
256	0.1309314859
257	0.1307762074
258	0.130634875
259	0.1304567718
260	0.1303399467
261	0.1301745216
262	0.1299997899
263	0.1297942567
264	0.1296681446
265	0.1295514116
266	0.1294318308
267	0.1292109199
268	0.1290064292
269	0.1288555981
270	0.1287729624
271	0.1286664115
272	0.1285236427
273	0.1283762765
274	0.1282394839
275	0.1281434903
276	0.1279680822
277	0.127886218
278	0.1277680271
279	0.1276335168
280	0.1275277458
281	0.1273614987
282	0.1272386745
283	0.1270479028
284	0.1269055396
285	0.1268334089
286	0.1266958261
287	0.1265773427
288	0.1264513799
289	0.1262454819
290	0.1261283115
291	0.1260077643
292	0.1258985718
293	0.1257837068
294	0.1256358489
295	0.1254779623
296	0.1253524854
297	0.1252089176
298	0.1251338849
299	0.1250396364
300	0.1249136783
301	0.1247962897
302	0.124664404
303	0.1245467876
304	0.1244296982
305	0.1243397113
306	0.124271396
307	0.1241535359
308	0.1240292345
309	0.1238662319
310	0.1237443029
311	0.1236230937
312	0.1235264272
313	0.1234241229
314	0.1233112721
315	0.1232094113
316	0.1230660197
317	0.1229462808
318	0.1228387003
319	0.1227741526
320	0.1226985967
321	0.1225692659
322	0.1224932648
323	0.12242854
324	0.1223278439
325	0.1222100367
326	0.1221264718
327	0.1220107578
328	0.1219222624
329	0.1217592189
330	0.1216929391
331	0.1216236514
332	0.1215201884
333	0.121425476
334	0.1213402552
335	0.1212592766
336	0.1211327255
337	0.1210715829
338	0.120990388
339	0.1208600467
340	0.1207736644
341	0.1206949603
342	0.1205334845
343	0.1204285014
344	0.1203335714
345	0.1202745021
346	0.1201654846
347	0.1200514014
348	0.1199214882
349	0.1198457059
350	0.1197517437
351	0.1195967651
352	0.1194882815
353	0.1194426604
354	0.1193472077
355	0.1192255968
356	0.1191063418
357	0.1190297675
358	0.1189450065
359	0.1188624001
360	0.1187704998
361	0.1186747256
362	0.1185936683
363	0.118463376
364	0.1183928315
365	0.1183223388
366	0.1182286323
367	0.1181127346
368	0.1180372241
369	0.1179544165
370	0.1178348058
371	0.1177881454
372	0.117674576
373	0.1175489969
374	0.117492699
375	0.1174149244
376	0.1172842086
377	0.117208489
378	0.1171030437
379	0.1169808265
380	0.1168917147
381	0.1167974435
382	0.1167398562
383	0.1165946564
384	0.1164764583
385	0.1163724296
386	0.1163079616
387	0.1161757211
388	0.1161056241
389	0.1160205872
390	0.1159431953
391	0.1158967192
392	0.1158384366
393	0.1157712657
394	0.1156844998
395	0.1155708442
396	0.1154527584
397	0.115357823
398	0.1152675762
399	0.1151474774
400	0.1150843785
401	0.1149625877
402	0.1148444783
403	0.1147112626
404	0.1146366692
405	0.11455641
406	0.1144673424
407	0.1144116811
408	0.1143595534
409	0.1142452333
410	0.1141727256
411	0.1140999808
412	0.1140144473
413	0.1139477854
414	0.113842143
415	0.1137557103
416	0.1137254337
417	0.1136473475
418	0.1136160009
419	0.1135049048
420	0.1133905721
421	0.1133107379
422	0.1132204277
423	0.1131539947
424	0.1130850044
425	0.1129843397
426	0.1129092645
427	0.1128180953
428	0.1127039691
429	0.1126600046
430	0.1125597974
431	0.1124899105
432	0.1124230891
433	0.1123863707
434	0.112298843
435	0.1122279253
436	0.1121012402
437	0.1120155311
438	0.1119665079
439	0.1119022972
440	0.111797307
441	0.111747221
442	0.1116644786
443	0.1116031456
444	0.1115502701
445	0.1114992054
446	0.1113967467
447	0.1113420689
448	0.1112745484
449	0.1112368123
450	0.1111781661
451	0.1110685637
452	0.1110149254
453	0.1109432912
454	0.1108867093
455	0.1108456259
456	0.1107599538
457	0.1106943632
458	0.110643443
459	0.1105916432
460	0.1105186395
461	0.1104193409
462	0.110329234
463	0.1102839748
464	0.1101769288
465	0.110142123
466	0.1100676965
467	0.1100181488
468	0.1099573335
469	0.1098885143
470	0.1097830173
471	0.1096911612
472	0.1096374611
473	0.1095561721
474	0.1094820964
475	0.1094009388
476	0.1093285167
477	0.1092191265
478	0.1091371724
479	0.1090693108
480	0.1089982759
481	0.1089254448
482	0.1088443037
483	0.1087718497
484	0.1086562591
485	0.1085772664
486	0.1085166048
487	0.1084335966
488	0.1083480727
489	0.1082642287
490	0.1082036343
491	0.1081582322
492	0.1080869716
493	0.1079952493
494	0.1079109528
495	0.1078636185
496	0.1078361684
497	0.1077281822
498	0.1076847931
499	0.1076105707
